line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
1;aa;Afar;Afar language;;cus;Cushitic;;;;Latn;Qafar;
2;aaa;Ghotuo;Ghotuo language;;alv-edo;Edoid;;;;Latn;Otuo;
3;aab;Alumu-Tesu;Alumu-Tesu language;;nic-bco;Benue-Congo;;;;Latn;Alumu,Tesu;
4;aac;Ari;Ari language;;ngf;Trans-New Guinea;;;;Latn;;
5;aad;Amal;Amal language;;paa-iwm;Iwam;;;;Latn;Alai;
6;aae;Arbëreshë Albanian;Arbëreshë Albanian language;;sqj;Albanian;;;;Latn;;
7;aaf;Aranadan;Aranadan language;;dra;Dravidian;;;;Mlym;Eranadan;
8;aag;Ambrak;Ambrak language;;qfa-tor;Torricelli;;;;Latn;;
9;aah;Abu' Arapesh;Abu' Arapesh language;;qfa-tor;Torricelli;;;;Latn;Abu',Ua;
10;aai;Arifama-Miniafia;Arifama-Miniafia language;;poz-ocw;Western Oceanic;;;;Latn;Arifama,Miniafia;
11;aak;Ankave;Ankave language;;ngf;Trans-New Guinea;;;;Latn;Angave;
12;aal;Afade;Afade language;;cdc-cbm;Central Chadic;;;;Latn;;
13;aan;Anambé;Anambé language;;tup-gua;Tupi-Guarani;;;;Latn;Anambe;
14;aao;Algerian Saharan Arabic;Algerian Saharan Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
15;aap;Pará Arára;Pará Arára language;;sai-car;Cariban;;;;Latn;Arára;
16;aaq;Penobscot;Penobscot language;;alg;Algonquian;;;;Latn;Eastern Abenaki,Eastern Abnaki;
17;aas;Aasax;Aasax language;;sdv;Eastern Sudanic;;;;Latn;Aasáx,Asa,Aramanik,Laramanik;
18;aat;Arvanitika Albanian;Arvanitika Albanian language;;sqj;Albanian;;;;Latn,Grek;;
19;aau;Abau;Abau language;;paa-spk;Sepik;;;;Latn;;
20;aav-ban-pro;Proto-Bahnaric;Proto-Bahnaric language;reconstructed;aav-ban;Bahnaric;;;exceptional;Latn;;
21;aav-khm-pro;Proto-Khmuic;Proto-Khmuic language;reconstructed;aav-khm;Khmuic;;;exceptional;Latn;;
22;aav-law;Lawi;Lawi language;;aav-ban;Bahnaric;;;exceptional;Latn;Lavi,Lavy,Swoeng,Savoeng,Saveung,Lakwi;
23;aav-pro;Proto-Austro-Asiatic;Proto-Austro-Asiatic language;reconstructed;aav;Austro-Asiatic;;;exceptional;Latinx;;
24;aaw;Solong;Solong language;;poz-ocw;Western Oceanic;;;;Latn;Arove,Arawe;
25;aax;Mandobo Atas;Mandobo Atas language;;ngf;Trans-New Guinea;;;;Latn;;
26;aaz;Amarasi;Amarasi language;;plf;Central Malayo-Polynesian;;;;Latn;;
27;ab;Abkhaz;Abkhaz language;;cau-abz;Abkhaz-Abaza;;autodetect;;Cyrl,Geor,Latn;Abkhazian,Abxazo;
28;aba;Abé;Abé language;;alv-kwa;Kwa;;;;Latn;;
29;abb;Bankon;Bankon language;;nic-bco;Benue-Congo;;;;Latn;Abo,Bo,Abaw,Miang,Mandouka;
30;abc;Ambala Ayta;Ambala Ayta language;;phi;Philippine;;;;Latn;;
31;abd;Camarines Norte Agta;Camarines Norte Agta language;;phi;Philippine;;;;Latn;Manide;
